twitch_id,twitch_username,discord_id,discord_username,ntsc_pb,ntsc_pb_updated_at,pal_pb,pal_pb_updated_at,country_code,country
101264772,starwise,118384804520525825,Misa / Starwise,490414,2019-10-20T18:22:17.257643+00:00,511051,2019-10-19T21:17:12.109169+00:00,FIN,Finland
89026743,elcaesogrande,,,582000,2019-10-19T21:35:30.364986+00:00,224,2019-10-19T21:38:19.253479+00:00,,
405380658,davidmichaelj,,,757640,2020-01-19T22:41:36.844578+00:00,,,,
36848090,mauled_by_the_tigers_trv,,,371620,2019-10-19T21:33:11.424505+00:00,,,GBR,United Kingdom of Great Britain
197082513,hav0cwraith,,,321000,2019-10-19T21:35:46.626965+00:00,,,,
149015375,airetho,,,612925,2019-11-13T03:17:06.489597+00:00,1399999,2019-11-13T03:19:40.298736+00:00,,
130403738,dekk_cl,,,528500,2019-11-14T06:42:58.599432+00:00,,,,
49089171,cylosix,,,420,2019-10-19T21:37:16.896207+00:00,,,,
417009982,thejkais,,,373260,2019-10-19T21:37:32.987536+00:00,,,,
45356161,fmtownsparty,,,42069,2019-10-19T21:38:01.903754+00:00,,,,
460291004,ticky_the_hex,,,314664,2019-10-19T23:20:28.158837+00:00,,,GBR,United Kingdom of Great Britain
52332240,steakmann,,,650200,2019-10-19T23:23:40.589134+00:00,,,USA,United States of America
104352245,andrewism21,,,581801,2019-10-19T23:24:25.946918+00:00,,,,
25500434,moozooh,,,519109,2019-11-02T22:20:27.935207+00:00,480212,2019-11-02T22:20:56.407723+00:00,,
152030943,dotogoto,,,999998,2019-10-19T23:43:47.244216+00:00,,,,
32567168,mxckgit,,,325103,2019-10-19T23:54:07.657746+00:00,,,,
85383064,doctor_scifi,,,238106,2019-10-20T23:04:39.422883+00:00,,,USA,United States of America
139880513,khunran,,,850000,2019-10-20T00:46:12.115614+00:00,,,KOR,Korea
157821412,lucass3241,,,999999,2019-10-20T00:46:29.892013+00:00,,,,
23461992,kelevra1324,,,80085,2019-10-20T00:47:01.130273+00:00,,,,
158690450,seanyspotpig,,,4,2019-10-20T01:03:44.403602+00:00,,,,
64894551,axel5116,,,158600,2019-11-17T23:47:47.531912+00:00,,,USA,United States of America
463914468,horse_penetrationv4,,,673417,2019-10-20T00:53:11.648944+00:00,,,PRK,Korea (Democratic People's Republic of)
178050611,fregata_magnificens,,,524100,2019-10-20T00:51:46.995385+00:00,,,,
246522750,little_mac_12127,475361126486638612,Little Mac,678760,2020-02-04T12:32:48.059448+00:00,418580,2020-01-19T12:36:48.640784+00:00,RUS,Russian Federation
,,331830845981851649,Led_Astray,518632,2019-10-20T20:35:04.001165+00:00,,,RUS,Russian Federation
163108487,sodiumoverdose,328679649582383105,SodiumOverdose,1052540,2020-01-27T19:19:47.786834+00:00,572955,2020-01-12T06:14:35.131138+00:00,USA,United States of America
40582289,kirbyrocket,106531020425150464,Kirbyrocket,80643,2019-11-11T12:01:55.434815+00:00,,,USA,United States of America
112881645,howdyhamburger,,,172208,2019-10-21T01:00:46.715952+00:00,,,,
60492467,fridaywitch,93121003693043712,fridaywitch,650509,2019-10-21T07:54:13.226168+00:00,,,USA,United States of America
219133192,marcothesnail,397098874398965761,Taylor,,,340252,2019-10-22T18:39:14.194956+00:00,ESP,Spain
,,578658388247052311,simoneske,710111,2019-11-07T16:17:42.685310+00:00,703100,2019-10-21T14:34:01.086783+00:00,DNK,Denmark
,,229317722243203072,Scamper9,665800,2019-12-06T23:06:25.832381+00:00,586840,2019-11-15T16:19:09.672747+00:00,GBR,United Kingdom of Great Britain
,,609055401551462448,Poet13,0,2019-12-26T22:05:42.661046+00:00,689740,2019-12-26T22:05:21.106822+00:00,DEU,Germany
,,425400913683808256,AMJ Productions,860626,2019-10-22T00:27:15.609327+00:00,,,USA,United States of America
53390309,goober_lp,186551298806644736,GooberLP,472674,2019-11-11T22:18:45.053792+00:00,,,USA,United States of America
,,429270344394735618,bcupp76,501896,2019-10-22T17:13:07.401559+00:00,,,,
,,315535272571830272,McMuffin,580540,2019-10-28T14:16:44.347499+00:00,421100,2019-10-22T19:45:34.927977+00:00,NOR,Norway
463036448,64torches,400611345977966592,čebela,368874,2019-12-18T23:42:17.601896+00:00,289306,2019-12-08T21:22:03.937701+00:00,SVN,Slovenia
13525818,jtn2002,208006602022715393,jtn2002,368788,2019-10-24T05:09:01.746555+00:00,,,USA,United States of America
26851026,nc_para_,201682180139778049,Zutatensuppe,406378,2019-10-24T11:26:52.838523+00:00,551395,2019-11-03T20:42:08.301498+00:00,DEU,Germany
468854531,rory79,619362995599835156,Rory,620320,2020-01-22T16:44:04.727038+00:00,,,MEX,Mexico
76383480,pastelcharlie,223282565463670784,PastelCharlie,450602,2020-01-30T01:52:02.193672+00:00,,,USA,United States of America
84200166,paul_yeo,,,999999,2019-12-25T20:02:14.994752+00:00,,,,
56930701,paulister,229322433440514048,Paulister,227234,2019-11-17T16:52:44.333313+00:00,191371,2019-11-01T12:23:21.031010+00:00,GRC,Greece
,,636960188338798622,TetrisMike,699580,2019-10-25T16:14:37.486987+00:00,,,,
,,573590364380856345,PiW,,,569500,2019-10-26T13:11:17.708706+00:00,,
95356399,deadmemelmao,236326912195166208,DTFPS,950880,2019-11-15T00:56:42.930498+00:00,296780,2020-01-04T05:51:06.019909+00:00,USA,United States of America
,,94880356062208000,Xarnax42,639190,2019-10-27T04:38:20.409152+00:00,,,,
,,142155088515956736,,186455,2019-11-03T03:49:01.147410+00:00,,,USA,United States of America
,,320401391963209738,paeddingtonbaer,,,144764,2019-10-27T14:33:10.641165+00:00,,
,,637434458517143554,AKUMA,640767,2020-01-24T00:46:43.061870+00:00,574772,2020-01-30T17:24:54.004307+00:00,DEU,Germany
139147653,eliwa131,238325136523001869,Eliwa,706038,2019-10-28T12:51:44.590485+00:00,635891,2019-10-28T12:52:51.092921+00:00,AUT,Austria
,,515849988463656970,,,,235659,2019-10-28T15:14:05.523341+00:00,,
